,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118619,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,800.0
118622,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1400.0
118626,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1408.0
118627,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,666.0
118630,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,833.0
118635,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1482.0
118636,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1587.0
118639,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2000.0
118642,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,833.0
118643,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1040.0
118644,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,1333.0
118645,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2600.0
118646,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,4500.0
118648,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,400.0
118650,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1166.0
118651,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1340.0
118653,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,963.0
118654,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,475.0
118657,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,781.0
118658,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1300.0
118659,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1650.0
118660,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,365.0
118661,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,575.0
118667,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,943.0
118669,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,574.0
118670,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,3012.0
118672,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,396.0
118673,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Não,Sim ,Sim ,750.0
118675,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,8850.0
118676,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3112.0
118679,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,1875.0
118681,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Sim ,1000.0
118682,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,2250.0
