,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118543,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1662.0
118546,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1116.0
118549,2015,Santa Catarina,Sim,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,2400.0
118550,2015,Santa Catarina,Não,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,1844.0
118552,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Sim ,Não,Não,1000.0
118553,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,2800.0
118554,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1400.0
118555,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,4700.0
118556,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2000.0
118558,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,3520.0
118559,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,16600.0
118560,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1400.0
118562,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,400.0
118563,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,800.0
118564,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,262.0
118565,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Não,Sim ,Não,1276.0
118566,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1600.0
118567,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1047.0
118568,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1275.0
118569,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1650.0
118570,2015,Santa Catarina,Não,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,1596.0
118571,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1750.0
118572,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2500.0
118573,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,829.0
118574,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,1522.0
118575,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1150.0
118576,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Sim ,Não,5200.0
118577,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1262.0
118578,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1000.0
118579,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,600.0
118580,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1233.0
